subject,class,scenario,timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
subject1,normal,1,1733143161730,10.51511,-5.75152,-7.06133,0.01305,0.00007,-0.01099
subject1,normal,1,1733143161777,2.55609,-6.16559,-7.43721,0.02137,-0.01789,-0.00176
subject1,normal,1,1733143161827,-2.53989,-2.50739,-6.07014,0.02454,-0.03280,0.00616
subject1,normal,1,1733143161871,2.66822,-4.08601,-7.24220,0.03240,-0.04211,0.01501
subject1,normal,1,1733143161913,-2.55929,-0.21046,-2.21557,0.03721,-0.04667,0.01399
subject1,normal,1,1733143161967,2.29436,-1.92273,0.54586,0.05155,-0.03616,-0.00452
subject1,normal,1,1733143162017,-5.19806,1.52387,8.74846,0.03631,-0.03965,-0.01780
subject1,normal,1,1733143162062,3.03805,3.19975,6.55076,0.01515,-0.02226,-0.00645
subject1,normal,1,1733143162114,2.67871,-2.25404,-5.02979,0.00670,0.00092,0.00245
subject1,normal,1,1733143162166,-2.44551,1.16741,-5.89156,0.00258,-0.00038,0.01163
subject1,normal,1,1733143162215,5.30685,-1.93836,-3.40217,-0.00404,-0.00007,0.01111
subject1,normal,1,1733143162262,4.51865,0.73977,-0.03408,-0.02033,0.01620,0.01325
subject1,normal,1,1733143162306,4.75237,1.46900,-2.23826,-0.02482,0.02156,0.02023
subject1,normal,1,1733143162350,4.69694,-0.04216,-7.88312,-0.03153,0.01236,0.02306
subject1,normal,1,1733143162404,5.03236,-2.83049,-8.97718,-0.03893,0.01080,0.02004
subject1,normal,1,1733143162451,2.99081,1.52325,1.33318,-0.01258,0.02574,-0.00755
subject1,normal,1,1733143162502,3.38009,1.30104,4.20005,0.01398,-0.00611,0.00490
subject1,normal,1,1733143162552,4.89899,-2.91575,-7.57859,-0.02768,-0.04789,0.03432
subject1,normal,1,1733143162599,-1.16100,5.17773,-0.61458,-0.07523,-0.08954,0.16253
subject1,normal,1,1733143162648,6.40458,0.08042,-3.86712,-0.12103,-0.14503,0.26032
subject1,normal,1,1733143162698,1.87139,-1.11097,-6.07449,-0.10343,-0.10743,0.36353
subject1,normal,1,1733143162747,8.35014,-7.14905,-0.62364,-0.02773,-0.06155,0.33183
subject1,normal,1,1733143162791,-4.63813,2.12689,0.71622,0.02226,0.02623,0.24719
subject1,normal,1,1733143162841,8.59054,0.50245,-4.28894,0.06956,0.07714,0.09379
subject1,normal,1,1733143162890,-6.04769,4.34385,2.54192,0.05961,0.03986,0.03556
subject1,normal,1,1733143162941,5.17998,0.58430,2.59829,0.03337,0.02399,-0.00136
subject1,normal,1,1733143162992,4.37379,3.94241,-1.46474,0.01207,0.01590,-0.00457
subject1,normal,1,1733143163047,1.33787,0.48523,-0.19612,0.02120,-0.01177,-0.01387
subject1,normal,1,1733143163091,1.69536,0.34817,5.00912,0.03130,-0.00657,-0.01637
subject1,normal,1,1733143163142,6.34441,-3.26199,-1.27395,0.03058,-0.01513,-0.00198
subject1,normal,1,1733143163192,-0.81789,-0.37223,-4.94018,0.00937,-0.03214,0.01863
subject1,normal,1,1733143163245,-3.79078,0.64531,1.56950,0.01024,-0.02932,0.00057
subject1,normal,1,1733143163293,9.63193,-6.34949,-11.34932,-0.02449,-0.07736,0.05696
subject1,normal,1,1733143163343,11.13897,1.61230,-10.36287,-0.09092,-0.14625,0.21083
subject1,normal,1,1733143163390,-3.62985,4.96361,-0.73338,-0.12988,-0.17630,0.31778
subject1,normal,1,1733143163437,-1.67477,5.02205,-7.42945,-0.15579,-0.16705,0.43834
